citizenship,geo,unemployment_rate,quarter,Sex,date
Reporting country,Austria,3.7,2020-Q1,Males,2020-01-01
Reporting country,Austria,4.0,2020-Q2,Males,2020-04-01
Reporting country,Austria,4.5,2020-Q3,Males,2020-07-01
Reporting country,Austria,4.3,2020-Q4,Males,2020-10-01
Reporting country,Austria,6.5,2021-Q1,Males,2021-01-01
Reporting country,Austria,5.3,2021-Q2,Males,2021-04-01
Reporting country,Austria,4.5,2021-Q3,Males,2021-07-01
Reporting country,Austria,3.9,2021-Q4,Males,2021-10-01
Reporting country,Austria,4.7,2022-Q1,Males,2022-01-01
Reporting country,Austria,3.6,2022-Q2,Males,2022-04-01
Reporting country,Austria,4.0,2022-Q3,Males,2022-07-01
Reporting country,Austria,3.7,2022-Q4,Males,2022-10-01
Reporting country,Austria,4.8,2023-Q1,Males,2023-01-01
Reporting country,Austria,3.8,2023-Q2,Males,2023-04-01
Reporting country,Austria,3.9,2023-Q3,Males,2023-07-01
Reporting country,Austria,3.8,2023-Q4,Males,2023-10-01
Reporting country,Austria,4.6,2024-Q1,Males,2024-01-01
Reporting country,Austria,3.9,2024-Q2,Males,2024-04-01
Reporting country,Austria,4.5,2024-Q3,Males,2024-07-01
Reporting country,Austria,3.8,2024-Q4,Males,2024-10-01
Reporting country,Austria,5.0,1998-Q1,Total,1998-01-01
Reporting country,Austria,4.3,1999-Q1,Total,1999-01-01
Reporting country,Austria,4.3,2000-Q1,Total,2000-01-01
Reporting country,Austria,2.9,2000-Q2,Total,2000-04-01
Reporting country,Austria,3.6,2001-Q1,Total,2001-01-01
Reporting country,Austria,4.4,2002-Q1,Total,2002-01-01
Reporting country,Austria,4.4,2003-Q1,Total,2003-01-01
Reporting country,Austria,3.7,2003-Q2,Total,2003-04-01
Reporting country,Austria,3.6,2003-Q3,Total,2003-07-01
Reporting country,Austria,3.9,2003-Q4,Total,2003-10-01
Reporting country,Austria,5.1,2004-Q1,Total,2004-01-01
Reporting country,Austria,4.6,2004-Q2,Total,2004-04-01
Reporting country,Austria,4.7,2004-Q3,Total,2004-07-01
Reporting country,Austria,4.7,2004-Q4,Total,2004-10-01
Reporting country,Austria,4.9,2005-Q1,Total,2005-01-01
Reporting country,Austria,4.8,2005-Q2,Total,2005-04-01
Reporting country,Austria,5.0,2005-Q3,Total,2005-07-01
Reporting country,Austria,4.8,2005-Q4,Total,2005-10-01
Reporting country,Austria,5.1,2006-Q1,Total,2006-01-01
Reporting country,Austria,4.7,2006-Q2,Total,2006-04-01
Reporting country,Austria,4.3,2006-Q3,Total,2006-07-01
Reporting country,Austria,4.2,2006-Q4,Total,2006-10-01
Reporting country,Austria,4.4,2007-Q1,Total,2007-01-01
Reporting country,Austria,4.4,2007-Q2,Total,2007-04-01
Reporting country,Austria,4.4,2007-Q3,Total,2007-07-01
Reporting country,Austria,3.9,2007-Q4,Total,2007-10-01
Reporting country,Austria,3.9,2008-Q1,Total,2008-01-01
Reporting country,Austria,3.3,2008-Q2,Total,2008-04-01
Reporting country,Austria,3.6,2008-Q3,Total,2008-07-01
Reporting country,Austria,3.8,2008-Q4,Total,2008-10-01
Reporting country,Austria,4.2,2009-Q1,Total,2009-01-01
Reporting country,Austria,4.7,2009-Q2,Total,2009-04-01
Reporting country,Austria,5.1,2009-Q3,Total,2009-07-01
Reporting country,Austria,4.6,2009-Q4,Total,2009-10-01
Reporting country,Austria,4.7,2010-Q1,Total,2010-01-01
Reporting country,Austria,4.4,2010-Q2,Total,2010-04-01
Reporting country,Austria,4.3,2010-Q3,Total,2010-07-01
Reporting country,Austria,3.9,2010-Q4,Total,2010-10-01
Reporting country,Austria,4.4,2011-Q1,Total,2011-01-01
Reporting country,Austria,4.0,2011-Q2,Total,2011-04-01
Reporting country,Austria,3.6,2011-Q3,Total,2011-07-01
Reporting country,Austria,4.1,2011-Q4,Total,2011-10-01
Reporting country,Austria,4.2,2012-Q1,Total,2012-01-01
Reporting country,Austria,4.3,2012-Q2,Total,2012-04-01
Reporting country,Austria,4.5,2012-Q3,Total,2012-07-01
Reporting country,Austria,4.3,2012-Q4,Total,2012-10-01
Reporting country,Austria,4.9,2013-Q1,Total,2013-01-01
Reporting country,Austria,4.4,2013-Q2,Total,2013-04-01
Reporting country,Austria,4.9,2013-Q3,Total,2013-07-01
Reporting country,Austria,4.7,2013-Q4,Total,2013-10-01
Reporting country,Austria,5.1,2014-Q1,Total,2014-01-01
Reporting country,Austria,4.8,2014-Q2,Total,2014-04-01
Reporting country,Austria,4.8,2014-Q3,Total,2014-07-01
Reporting country,Austria,4.7,2014-Q4,Total,2014-10-01
Reporting country,Austria,4.8,2015-Q1,Total,2015-01-01
Reporting country,Austria,4.9,2015-Q2,Total,2015-04-01
Reporting country,Austria,5.0,2015-Q3,Total,2015-07-01
Reporting country,Austria,4.8,2015-Q4,Total,2015-10-01
Reporting country,Austria,5.3,2016-Q1,Total,2016-01-01
Reporting country,Austria,5.1,2016-Q2,Total,2016-04-01
Reporting country,Austria,5.0,2016-Q3,Total,2016-07-01
Reporting country,Austria,4.6,2016-Q4,Total,2016-10-01
Reporting country,Austria,4.8,2017-Q1,Total,2017-01-01
Reporting country,Austria,4.5,2017-Q2,Total,2017-04-01
Reporting country,Austria,4.5,2017-Q3,Total,2017-07-01
Reporting country,Austria,4.4,2017-Q4,Total,2017-10-01
Reporting country,Austria,4.2,2018-Q1,Total,2018-01-01
Reporting country,Austria,3.7,2018-Q2,Total,2018-04-01
Reporting country,Austria,3.9,2018-Q3,Total,2018-07-01
Reporting country,Austria,3.8,2018-Q4,Total,2018-10-01
Reporting country,Austria,3.9,2019-Q1,Total,2019-01-01
Reporting country,Austria,3.5,2019-Q2,Total,2019-04-01
Reporting country,Austria,3.6,2019-Q3,Total,2019-07-01
Reporting country,Austria,3.4,2019-Q4,Total,2019-10-01
Reporting country,Austria,3.5,2020-Q1,Total,2020-01-01
Reporting country,Austria,4.1,2020-Q2,Total,2020-04-01
Reporting country,Austria,4.5,2020-Q3,Total,2020-07-01
Reporting country,Austria,4.1,2020-Q4,Total,2020-10-01
Reporting country,Austria,6.1,2021-Q1,Total,2021-01-01
Reporting country,Austria,5.1,2021-Q2,Total,2021-04-01
Reporting country,Austria,4.5,2021-Q3,Total,2021-07-01
Reporting country,Austria,4.0,2021-Q4,Total,2021-10-01
Reporting country,Austria,4.1,2022-Q1,Total,2022-01-01
Reporting country,Austria,3.4,2022-Q2,Total,2022-04-01
Reporting country,Austria,3.7,2022-Q3,Total,2022-07-01
Reporting country,Austria,3.6,2022-Q4,Total,2022-10-01
Reporting country,Austria,4.2,2023-Q1,Total,2023-01-01
Reporting country,Austria,3.6,2023-Q2,Total,2023-04-01
Reporting country,Austria,3.8,2023-Q3,Total,2023-07-01
Reporting country,Austria,3.8,2023-Q4,Total,2023-10-01
Reporting country,Austria,4.1,2024-Q1,Total,2024-01-01
Reporting country,Austria,3.5,2024-Q2,Total,2024-04-01
Reporting country,Austria,4.2,2024-Q3,Total,2024-07-01
Reporting country,Austria,3.8,2024-Q4,Total,2024-10-01
Total,Austria,5.6,1998-Q1,Females,1998-01-01
Total,Austria,4.8,1999-Q1,Females,1999-01-01
Total,Austria,3.6,1999-Q2,Females,1999-04-01
Total,Austria,3.5,1999-Q3,Females,1999-07-01
Total,Austria,3.6,1999-Q4,Females,1999-10-01
Total,Austria,4.6,2000-Q1,Females,2000-01-01
Total,Austria,3.7,2000-Q2,Females,2000-04-01
Total,Austria,3.7,2000-Q3,Females,2000-07-01
Total,Austria,3.5,2000-Q4,Females,2000-10-01
Total,Austria,4.1,2001-Q1,Females,2001-01-01
Total,Austria,3.7,2001-Q2,Females,2001-04-01
Total,Austria,3.8,2001-Q3,Females,2001-07-01
Total,Austria,3.7,2001-Q4,Females,2001-10-01
Total,Austria,4.6,2002-Q1,Females,2002-01-01
Total,Austria,3.5,2002-Q2,Females,2002-04-01
Total,Austria,3.8,2002-Q3,Females,2002-07-01
Total,Austria,3.8,2002-Q4,Females,2002-10-01
Total,Austria,4.4,2003-Q1,Females,2003-01-01
Total,Austria,4.4,2003-Q2,Females,2003-04-01
Total,Austria,4.0,2003-Q3,Females,2003-07-01
Total,Austria,4.2,2003-Q4,Females,2003-10-01
Total,Austria,5.9,2004-Q1,Females,2004-01-01
Total,Austria,5.8,2004-Q2,Females,2004-04-01
Total,Austria,6.1,2004-Q3,Females,2004-07-01
Total,Austria,6.0,2004-Q4,Females,2004-10-01
Total,Austria,5.7,2005-Q1,Females,2005-01-01
Total,Austria,5.9,2005-Q2,Females,2005-04-01
Total,Austria,6.1,2005-Q3,Females,2005-07-01
Total,Austria,5.9,2005-Q4,Females,2005-10-01
Total,Austria,5.9,2006-Q1,Females,2006-01-01
Total,Austria,5.7,2006-Q2,Females,2006-04-01
Total,Austria,5.5,2006-Q3,Females,2006-07-01
Total,Austria,5.6,2006-Q4,Females,2006-10-01
Total,Austria,5.4,2007-Q1,Females,2007-01-01
Total,Austria,5.7,2007-Q2,Females,2007-04-01
Total,Austria,5.5,2007-Q3,Females,2007-07-01
Total,Austria,4.8,2007-Q4,Females,2007-10-01
Total,Austria,4.5,2008-Q1,Females,2008-01-01
Total,Austria,4.1,2008-Q2,Females,2008-04-01
Total,Austria,4.5,2008-Q3,Females,2008-07-01
Total,Austria,4.8,2008-Q4,Females,2008-10-01
Total,Austria,4.8,2009-Q1,Females,2009-01-01
Total,Austria,5.0,2009-Q2,Females,2009-04-01
Total,Austria,5.8,2009-Q3,Females,2009-07-01
Total,Austria,4.9,2009-Q4,Females,2009-10-01
Total,Austria,4.7,2010-Q1,Females,2010-01-01
Total,Austria,4.7,2010-Q2,Females,2010-04-01
Total,Austria,4.7,2010-Q3,Females,2010-07-01
Total,Austria,4.6,2010-Q4,Females,2010-10-01
Total,Austria,4.9,2011-Q1,Females,2011-01-01
Total,Austria,4.2,2011-Q2,Females,2011-04-01
Total,Austria,4.1,2011-Q3,Females,2011-07-01
Total,Austria,5.2,2011-Q4,Females,2011-10-01
Total,Austria,5.0,2012-Q1,Females,2012-01-01
Total,Austria,4.6,2012-Q2,Females,2012-04-01
Total,Austria,5.1,2012-Q3,Females,2012-07-01
Total,Austria,4.7,2012-Q4,Females,2012-10-01
Total,Austria,5.4,2013-Q1,Females,2013-01-01
Total,Austria,4.9,2013-Q2,Females,2013-04-01
Total,Austria,5.5,2013-Q3,Females,2013-07-01
Total,Austria,5.6,2013-Q4,Females,2013-10-01
Total,Austria,5.9,2014-Q1,Females,2014-01-01
Total,Austria,5.1,2014-Q2,Females,2014-04-01
Total,Austria,5.5,2014-Q3,Females,2014-07-01
Total,Austria,5.4,2014-Q4,Females,2014-10-01
Total,Austria,5.4,2015-Q1,Females,2015-01-01
Total,Austria,5.4,2015-Q2,Females,2015-04-01
Total,Austria,5.2,2015-Q3,Females,2015-07-01
Total,Austria,5.5,2015-Q4,Females,2015-10-01
Total,Austria,5.7,2016-Q1,Females,2016-01-01
Total,Austria,5.6,2016-Q2,Females,2016-04-01
Total,Austria,5.9,2016-Q3,Females,2016-07-01
Total,Austria,5.3,2016-Q4,Females,2016-10-01
Total,Austria,5.3,2017-Q1,Females,2017-01-01
Total,Austria,5.0,2017-Q2,Females,2017-04-01
Total,Austria,5.1,2017-Q3,Females,2017-07-01
Total,Austria,5.1,2017-Q4,Females,2017-10-01
Total,Austria,4.8,2018-Q1,Females,2018-01-01
Total,Austria,4.4,2018-Q2,Females,2018-04-01
Total,Austria,5.2,2018-Q3,Females,2018-07-01
Total,Austria,4.4,2018-Q4,Females,2018-10-01
Total,Austria,4.6,2019-Q1,Females,2019-01-01
Total,Austria,4.4,2019-Q2,Females,2019-04-01
Total,Austria,4.4,2019-Q3,Females,2019-07-01
Total,Austria,4.1,2019-Q4,Females,2019-10-01
Total,Austria,4.4,2020-Q1,Females,2020-01-01
Total,Austria,5.5,2020-Q2,Females,2020-04-01
Total,Austria,5.8,2020-Q3,Females,2020-07-01
Total,Austria,5.5,2020-Q4,Females,2020-10-01
Total,Austria,7.5,2021-Q1,Females,2021-01-01
Total,Austria,6.5,2021-Q2,Females,2021-04-01
Total,Austria,5.5,2021-Q3,Females,2021-07-01
Total,Austria,5.3,2021-Q4,Females,2021-10-01
Total,Austria,4.7,2022-Q1,Females,2022-01-01
Total,Austria,4.2,2022-Q2,Females,2022-04-01
Total,Austria,4.8,2022-Q3,Females,2022-07-01
Total,Austria,4.7,2022-Q4,Females,2022-10-01
Total,Austria,4.9,2023-Q1,Females,2023-01-01
Total,Austria,4.8,2023-Q2,Females,2023-04-01
Total,Austria,5.1,2023-Q3,Females,2023-07-01
Total,Austria,4.8,2023-Q4,Females,2023-10-01
Total,Austria,4.7,2024-Q1,Females,2024-01-01
Total,Austria,4.6,2024-Q2,Females,2024-04-01
Total,Austria,4.8,2024-Q3,Females,2024-07-01
Total,Austria,5.0,2024-Q4,Females,2024-10-01
Total,Austria,5.4,1998-Q1,Males,1998-01-01
Total,Austria,4.7,1999-Q1,Males,1999-01-01
Total,Austria,3.5,1999-Q2,Males,1999-04-01
Total,Austria,3.0,1999-Q3,Males,1999-07-01
Total,Austria,3.5,1999-Q4,Males,1999-10-01
Total,Austria,4.8,2000-Q1,Males,2000-01-01
Total,Austria,2.7,2000-Q2,Males,2000-04-01
Total,Austria,2.7,2000-Q3,Males,2000-07-01
Total,Austria,3.1,2000-Q4,Males,2000-10-01
Total,Austria,4.0,2001-Q1,Males,2001-01-01
Total,Austria,3.2,2001-Q2,Males,2001-04-01
Total,Austria,3.0,2001-Q3,Males,2001-07-01
Total,Austria,3.7,2001-Q4,Males,2001-10-01
Total,Austria,5.2,2002-Q1,Males,2002-01-01
Total,Austria,3.7,2002-Q2,Males,2002-04-01
Total,Austria,3.4,2002-Q3,Males,2002-07-01
Total,Austria,3.9,2002-Q4,Males,2002-10-01
Total,Austria,5.2,2003-Q1,Males,2003-01-01
Total,Austria,4.0,2003-Q2,Males,2003-04-01
Total,Austria,3.9,2003-Q3,Males,2003-07-01
Total,Austria,4.4,2003-Q4,Males,2003-10-01
Total,Austria,5.8,2004-Q1,Males,2004-01-01
Total,Austria,5.1,2004-Q2,Males,2004-04-01
Total,Austria,4.8,2004-Q3,Males,2004-07-01
Total,Austria,5.0,2004-Q4,Males,2004-10-01
Total,Austria,5.7,2005-Q1,Males,2005-01-01
Total,Austria,5.5,2005-Q2,Males,2005-04-01
Total,Austria,5.2,2005-Q3,Males,2005-07-01
Total,Austria,5.5,2005-Q4,Males,2005-10-01
Total,Austria,6.2,2006-Q1,Males,2006-01-01
Total,Austria,5.0,2006-Q2,Males,2006-04-01
Total,Austria,4.5,2006-Q3,Males,2006-07-01
Total,Austria,4.4,2006-Q4,Males,2006-10-01
Total,Austria,5.0,2007-Q1,Males,2007-01-01
Total,Austria,4.6,2007-Q2,Males,2007-04-01
Total,Austria,4.5,2007-Q3,Males,2007-07-01
Total,Austria,4.1,2007-Q4,Males,2007-10-01
Total,Austria,4.5,2008-Q1,Males,2008-01-01
Total,Austria,3.5,2008-Q2,Males,2008-04-01
Total,Austria,3.8,2008-Q3,Males,2008-07-01
Total,Austria,4.0,2008-Q4,Males,2008-10-01
Total,Austria,5.2,2009-Q1,Males,2009-01-01
Total,Austria,5.6,2009-Q2,Males,2009-04-01
Total,Austria,5.8,2009-Q3,Males,2009-07-01
Total,Austria,5.7,2009-Q4,Males,2009-10-01
Total,Austria,5.9,2010-Q1,Males,2010-01-01
Total,Austria,5.2,2010-Q2,Males,2010-04-01
Total,Austria,4.9,2010-Q3,Males,2010-07-01
Total,Austria,4.3,2010-Q4,Males,2010-10-01
Total,Austria,5.3,2011-Q1,Males,2011-01-01
Total,Austria,4.7,2011-Q2,Males,2011-04-01
Total,Austria,4.0,2011-Q3,Males,2011-07-01
Total,Austria,4.5,2011-Q4,Males,2011-10-01
Total,Austria,4.6,2012-Q1,Males,2012-01-01
Total,Austria,5.1,2012-Q2,Males,2012-04-01
Total,Austria,5.2,2012-Q3,Males,2012-07-01
Total,Austria,5.2,2012-Q4,Males,2012-10-01
Total,Austria,6.1,2013-Q1,Males,2013-01-01
Total,Austria,5.2,2013-Q2,Males,2013-04-01
Total,Austria,5.3,2013-Q3,Males,2013-07-01
Total,Austria,5.2,2013-Q4,Males,2013-10-01
Total,Austria,6.2,2014-Q1,Males,2014-01-01
Total,Austria,5.9,2014-Q2,Males,2014-04-01
Total,Austria,5.8,2014-Q3,Males,2014-07-01
Total,Austria,5.9,2014-Q4,Males,2014-10-01
Total,Austria,6.4,2015-Q1,Males,2015-01-01
Total,Austria,6.3,2015-Q2,Males,2015-04-01
Total,Austria,6.1,2015-Q3,Males,2015-07-01
Total,Austria,6.1,2015-Q4,Males,2015-10-01
Total,Austria,6.9,2016-Q1,Males,2016-01-01
Total,Austria,6.7,2016-Q2,Males,2016-04-01
Total,Austria,6.5,2016-Q3,Males,2016-07-01
Total,Austria,6.0,2016-Q4,Males,2016-10-01
Total,Austria,6.7,2017-Q1,Males,2017-01-01
Total,Austria,5.9,2017-Q2,Males,2017-04-01
Total,Austria,5.9,2017-Q3,Males,2017-07-01
Total,Austria,5.5,2017-Q4,Males,2017-10-01
Total,Austria,5.8,2018-Q1,Males,2018-01-01
Total,Austria,4.9,2018-Q2,Males,2018-04-01
Total,Austria,4.8,2018-Q3,Males,2018-07-01
Total,Austria,5.0,2018-Q4,Males,2018-10-01
Total,Austria,5.3,2019-Q1,Males,2019-01-01
Total,Austria,4.6,2019-Q2,Males,2019-04-01
Total,Austria,4.5,2019-Q3,Males,2019-07-01
Total,Austria,4.3,2019-Q4,Males,2019-10-01
Total,Austria,5.0,2020-Q1,Males,2020-01-01
Total,Austria,5.9,2020-Q2,Males,2020-04-01
Total,Austria,5.8,2020-Q3,Males,2020-07-01
Total,Austria,5.6,2020-Q4,Males,2020-10-01
Total,Austria,8.5,2021-Q1,Males,2021-01-01
Total,Austria,6.7,2021-Q2,Males,2021-04-01
Total,Austria,5.3,2021-Q3,Males,2021-07-01
Total,Austria,4.9,2021-Q4,Males,2021-10-01
Total,Austria,5.8,2022-Q1,Males,2022-01-01
Total,Austria,4.5,2022-Q2,Males,2022-04-01
Total,Austria,4.8,2022-Q3,Males,2022-07-01
Total,Austria,5.0,2022-Q4,Males,2022-10-01
Total,Austria,6.2,2023-Q1,Males,2023-01-01
Total,Austria,4.9,2023-Q2,Males,2023-04-01
Total,Austria,5.3,2023-Q3,Males,2023-07-01
Total,Austria,5.2,2023-Q4,Males,2023-10-01
Total,Austria,6.2,2024-Q1,Males,2024-01-01
Total,Austria,5.3,2024-Q2,Males,2024-04-01
Total,Austria,5.6,2024-Q3,Males,2024-07-01
Total,Austria,5.4,2024-Q4,Males,2024-10-01
Total,Austria,5.5,1998-Q1,Total,1998-01-01
Total,Austria,4.7,1999-Q1,Total,1999-01-01
Total,Austria,3.5,1999-Q2,Total,1999-04-01
Total,Austria,3.2,1999-Q3,Total,1999-07-01
Total,Austria,3.5,1999-Q4,Total,1999-10-01
Total,Austria,4.7,2000-Q1,Total,2000-01-01
Total,Austria,3.1,2000-Q2,Total,2000-04-01
Total,Austria,3.1,2000-Q3,Total,2000-07-01
Total,Austria,3.3,2000-Q4,Total,2000-10-01
Total,Austria,4.0,2001-Q1,Total,2001-01-01
Total,Austria,3.4,2001-Q2,Total,2001-04-01
Total,Austria,3.3,2001-Q3,Total,2001-07-01
Total,Austria,3.7,2001-Q4,Total,2001-10-01
Total,Austria,4.9,2002-Q1,Total,2002-01-01
Total,Austria,3.6,2002-Q2,Total,2002-04-01
Total,Austria,3.6,2002-Q3,Total,2002-07-01
Total,Austria,3.8,2002-Q4,Total,2002-10-01
Total,Austria,4.8,2003-Q1,Total,2003-01-01
Total,Austria,4.2,2003-Q2,Total,2003-04-01
Total,Austria,4.0,2003-Q3,Total,2003-07-01
Total,Austria,4.3,2003-Q4,Total,2003-10-01
Total,Austria,5.9,2004-Q1,Total,2004-01-01
Total,Austria,5.4,2004-Q2,Total,2004-04-01
Total,Austria,5.4,2004-Q3,Total,2004-07-01
Total,Austria,5.5,2004-Q4,Total,2004-10-01
Total,Austria,5.7,2005-Q1,Total,2005-01-01
Total,Austria,5.7,2005-Q2,Total,2005-04-01
Total,Austria,5.6,2005-Q3,Total,2005-07-01
Total,Austria,5.7,2005-Q4,Total,2005-10-01
Total,Austria,6.0,2006-Q1,Total,2006-01-01
Total,Austria,5.3,2006-Q2,Total,2006-04-01
Total,Austria,4.9,2006-Q3,Total,2006-07-01
Total,Austria,4.9,2006-Q4,Total,2006-10-01
Total,Austria,5.2,2007-Q1,Total,2007-01-01
Total,Austria,5.1,2007-Q2,Total,2007-04-01
Total,Austria,4.9,2007-Q3,Total,2007-07-01
Total,Austria,4.5,2007-Q4,Total,2007-10-01
Total,Austria,4.5,2008-Q1,Total,2008-01-01
Total,Austria,3.8,2008-Q2,Total,2008-04-01
Total,Austria,4.1,2008-Q3,Total,2008-07-01
Total,Austria,4.4,2008-Q4,Total,2008-10-01
Total,Austria,5.0,2009-Q1,Total,2009-01-01
Total,Austria,5.4,2009-Q2,Total,2009-04-01
Total,Austria,5.8,2009-Q3,Total,2009-07-01
Total,Austria,5.4,2009-Q4,Total,2009-10-01
Total,Austria,5.3,2010-Q1,Total,2010-01-01
Total,Austria,5.0,2010-Q2,Total,2010-04-01
Total,Austria,4.8,2010-Q3,Total,2010-07-01
Total,Austria,4.5,2010-Q4,Total,2010-10-01
Total,Austria,5.1,2011-Q1,Total,2011-01-01
Total,Austria,4.5,2011-Q2,Total,2011-04-01
Total,Austria,4.1,2011-Q3,Total,2011-07-01
Total,Austria,4.8,2011-Q4,Total,2011-10-01
Total,Austria,4.8,2012-Q1,Total,2012-01-01
Total,Austria,4.9,2012-Q2,Total,2012-04-01
Total,Austria,5.1,2012-Q3,Total,2012-07-01
Total,Austria,4.9,2012-Q4,Total,2012-10-01
Total,Austria,5.8,2013-Q1,Total,2013-01-01
Total,Austria,5.1,2013-Q2,Total,2013-04-01
Total,Austria,5.4,2013-Q3,Total,2013-07-01
Total,Austria,5.4,2013-Q4,Total,2013-10-01
Total,Austria,6.0,2014-Q1,Total,2014-01-01
Total,Austria,5.5,2014-Q2,Total,2014-04-01
Total,Austria,5.7,2014-Q3,Total,2014-07-01
Total,Austria,5.6,2014-Q4,Total,2014-10-01
Total,Austria,5.9,2015-Q1,Total,2015-01-01
Total,Austria,5.9,2015-Q2,Total,2015-04-01
Total,Austria,5.7,2015-Q3,Total,2015-07-01
Total,Austria,5.8,2015-Q4,Total,2015-10-01
Total,Austria,6.3,2016-Q1,Total,2016-01-01
Total,Austria,6.2,2016-Q2,Total,2016-04-01
Total,Austria,6.2,2016-Q3,Total,2016-07-01
Total,Austria,5.7,2016-Q4,Total,2016-10-01
Total,Austria,6.0,2017-Q1,Total,2017-01-01
Total,Austria,5.5,2017-Q2,Total,2017-04-01
Total,Austria,5.5,2017-Q3,Total,2017-07-01
Total,Austria,5.3,2017-Q4,Total,2017-10-01
Total,Austria,5.3,2018-Q1,Total,2018-01-01
Total,Austria,4.7,2018-Q2,Total,2018-04-01
Total,Austria,5.0,2018-Q3,Total,2018-07-01
Total,Austria,4.7,2018-Q4,Total,2018-10-01
Total,Austria,5.0,2019-Q1,Total,2019-01-01
Total,Austria,4.5,2019-Q2,Total,2019-04-01
Total,Austria,4.5,2019-Q3,Total,2019-07-01
Total,Austria,4.2,2019-Q4,Total,2019-10-01
Total,Austria,4.7,2020-Q1,Total,2020-01-01
Total,Austria,5.7,2020-Q2,Total,2020-04-01
Total,Austria,5.8,2020-Q3,Total,2020-07-01
Total,Austria,5.5,2020-Q4,Total,2020-10-01
Total,Austria,8.0,2021-Q1,Total,2021-01-01
Total,Austria,6.6,2021-Q2,Total,2021-04-01
Total,Austria,5.4,2021-Q3,Total,2021-07-01
Total,Austria,5.1,2021-Q4,Total,2021-10-01
Total,Austria,5.3,2022-Q1,Total,2022-01-01
Total,Austria,4.3,2022-Q2,Total,2022-04-01
Total,Austria,4.8,2022-Q3,Total,2022-07-01
Total,Austria,4.8,2022-Q4,Total,2022-10-01
Total,Austria,5.6,2023-Q1,Total,2023-01-01
Total,Austria,4.8,2023-Q2,Total,2023-04-01
Total,Austria,5.2,2023-Q3,Total,2023-07-01
Total,Austria,5.0,2023-Q4,Total,2023-10-01
Total,Austria,5.5,2024-Q1,Total,2024-01-01
Total,Austria,5.0,2024-Q2,Total,2024-04-01
Total,Austria,5.2,2024-Q3,Total,2024-07-01
Total,Austria,5.2,2024-Q4,Total,2024-10-01
Foreign country,Belgium,24.0,1998-Q2,Females,1998-04-01
Foreign country,Belgium,27.6,1999-Q1,Females,1999-01-01
Foreign country,Belgium,22.9,1999-Q2,Females,1999-04-01
Foreign country,Belgium,23.5,1999-Q3,Females,1999-07-01
