c_birth,sex,geo,TIME_PERIOD,OBS_VALUE
European Free Trade Association except reporting country,Total,Türkiye,2024,100.0
EU27 countries (from 2020) except reporting country,Females,Austria,2022,52.9
EU27 countries (from 2020) except reporting country,Females,Austria,2024,52.7
EU27 countries (from 2020) except reporting country,Females,Belgium,2022,51.6
EU27 countries (from 2020) except reporting country,Females,Belgium,2024,51.6
EU27 countries (from 2020) except reporting country,Females,Bulgaria,2022,46.9
EU27 countries (from 2020) except reporting country,Females,Bulgaria,2024,45.5
EU27 countries (from 2020) except reporting country,Females,Switzerland,2022,49.4
EU27 countries (from 2020) except reporting country,Females,Switzerland,2024,49.0
EU27 countries (from 2020) except reporting country,Females,Cyprus,2022,54.1
EU27 countries (from 2020) except reporting country,Females,Cyprus,2024,50.2
EU27 countries (from 2020) except reporting country,Females,Czechia,2022,45.3
EU27 countries (from 2020) except reporting country,Females,Czechia,2024,51.1
EU27 countries (from 2020) except reporting country,Females,Germany,2022,51.9
EU27 countries (from 2020) except reporting country,Females,Germany,2024,51.8
EU27 countries (from 2020) except reporting country,Females,Denmark,2022,48.1
EU27 countries (from 2020) except reporting country,Females,Denmark,2024,47.9
EU27 countries (from 2020) except reporting country,Females,Estonia,2022,42.3
EU27 countries (from 2020) except reporting country,Females,Estonia,2024,42.1
EU27 countries (from 2020) except reporting country,Females,Greece,2022,60.7
EU27 countries (from 2020) except reporting country,Females,Greece,2023,60.8
EU27 countries (from 2020) except reporting country,Females,Greece,2024,60.8
EU27 countries (from 2020) except reporting country,Females,Spain,2022,50.4
EU27 countries (from 2020) except reporting country,Females,Spain,2024,51.0
EU27 countries (from 2020) except reporting country,Females,Finland,2022,45.8
EU27 countries (from 2020) except reporting country,Females,Finland,2023,45.8
EU27 countries (from 2020) except reporting country,Females,Finland,2024,45.6
EU27 countries (from 2020) except reporting country,Females,France,2021,53.1
EU27 countries (from 2020) except reporting country,Females,France,2022,53.1
EU27 countries (from 2020) except reporting country,Females,France,2024,53.4
EU27 countries (from 2020) except reporting country,Females,Croatia,2022,54.5
EU27 countries (from 2020) except reporting country,Females,Croatia,2024,53.8
EU27 countries (from 2020) except reporting country,Females,Hungary,2022,51.1
EU27 countries (from 2020) except reporting country,Females,Hungary,2024,51.0
EU27 countries (from 2020) except reporting country,Females,Ireland,2022,50.7
EU27 countries (from 2020) except reporting country,Females,Ireland,2024,50.4
EU27 countries (from 2020) except reporting country,Females,Iceland,2022,43.1
EU27 countries (from 2020) except reporting country,Females,Iceland,2024,43.2
EU27 countries (from 2020) except reporting country,Females,Italy,2022,61.2
EU27 countries (from 2020) except reporting country,Females,Italy,2024,61.0
EU27 countries (from 2020) except reporting country,Females,Liechtenstein,2022,53.3
EU27 countries (from 2020) except reporting country,Females,Liechtenstein,2024,53.0
EU27 countries (from 2020) except reporting country,Females,Lithuania,2022,52.5
EU27 countries (from 2020) except reporting country,Females,Luxembourg,2022,48.3
EU27 countries (from 2020) except reporting country,Females,Luxembourg,2024,48.4
EU27 countries (from 2020) except reporting country,Females,Latvia,2022,55.5
EU27 countries (from 2020) except reporting country,Females,Latvia,2024,55.6
EU27 countries (from 2020) except reporting country,Females,Malta,2022,42.0
EU27 countries (from 2020) except reporting country,Females,Malta,2024,43.5
EU27 countries (from 2020) except reporting country,Females,Netherlands,2022,52.3
EU27 countries (from 2020) except reporting country,Females,Netherlands,2024,51.8
EU27 countries (from 2020) except reporting country,Females,Norway,2022,43.4
EU27 countries (from 2020) except reporting country,Females,Norway,2023,43.6
EU27 countries (from 2020) except reporting country,Females,Norway,2024,43.7
EU27 countries (from 2020) except reporting country,Females,Poland,2022,52.1
EU27 countries (from 2020) except reporting country,Females,Poland,2023,52.3
EU27 countries (from 2020) except reporting country,Females,Poland,2024,52.5
EU27 countries (from 2020) except reporting country,Females,Portugal,2022,51.4
EU27 countries (from 2020) except reporting country,Females,Portugal,2023,50.4
EU27 countries (from 2020) except reporting country,Females,Portugal,2024,50.5
EU27 countries (from 2020) except reporting country,Females,Romania,2022,48.2
EU27 countries (from 2020) except reporting country,Females,Romania,2024,48.3
EU27 countries (from 2020) except reporting country,Females,Sweden,2022,52.0
EU27 countries (from 2020) except reporting country,Females,Sweden,2024,51.4
EU27 countries (from 2020) except reporting country,Females,Slovenia,2022,50.8
EU27 countries (from 2020) except reporting country,Females,Slovenia,2024,51.2
EU27 countries (from 2020) except reporting country,Females,Slovakia,2022,51.9
EU27 countries (from 2020) except reporting country,Females,Slovakia,2024,51.7
EU27 countries (from 2020) except reporting country,Females,Türkiye,2024,53.9
EU27 countries (from 2020) except reporting country,Males,Austria,2022,47.1
EU27 countries (from 2020) except reporting country,Males,Austria,2024,47.3
EU27 countries (from 2020) except reporting country,Males,Belgium,2022,48.4
EU27 countries (from 2020) except reporting country,Males,Belgium,2024,48.4
EU27 countries (from 2020) except reporting country,Males,Bulgaria,2022,53.1
EU27 countries (from 2020) except reporting country,Males,Bulgaria,2024,54.5
EU27 countries (from 2020) except reporting country,Males,Switzerland,2022,50.6
EU27 countries (from 2020) except reporting country,Males,Switzerland,2024,51.0
EU27 countries (from 2020) except reporting country,Males,Cyprus,2022,45.9
EU27 countries (from 2020) except reporting country,Males,Cyprus,2024,49.8
EU27 countries (from 2020) except reporting country,Males,Czechia,2022,54.7
EU27 countries (from 2020) except reporting country,Males,Czechia,2024,48.9
EU27 countries (from 2020) except reporting country,Males,Germany,2022,48.1
EU27 countries (from 2020) except reporting country,Males,Germany,2024,48.2
EU27 countries (from 2020) except reporting country,Males,Denmark,2022,51.9
EU27 countries (from 2020) except reporting country,Males,Denmark,2024,52.1
EU27 countries (from 2020) except reporting country,Males,Estonia,2022,57.7
EU27 countries (from 2020) except reporting country,Males,Estonia,2024,57.9
EU27 countries (from 2020) except reporting country,Males,Greece,2022,39.3
EU27 countries (from 2020) except reporting country,Males,Greece,2023,39.2
EU27 countries (from 2020) except reporting country,Males,Greece,2024,39.2
EU27 countries (from 2020) except reporting country,Males,Spain,2022,49.6
EU27 countries (from 2020) except reporting country,Males,Spain,2024,49.0
EU27 countries (from 2020) except reporting country,Males,Finland,2022,54.2
EU27 countries (from 2020) except reporting country,Males,Finland,2023,54.2
EU27 countries (from 2020) except reporting country,Males,Finland,2024,54.4
EU27 countries (from 2020) except reporting country,Males,France,2021,46.9
EU27 countries (from 2020) except reporting country,Males,France,2022,46.9
EU27 countries (from 2020) except reporting country,Males,France,2024,46.6
EU27 countries (from 2020) except reporting country,Males,Croatia,2022,45.5
EU27 countries (from 2020) except reporting country,Males,Croatia,2024,46.2
EU27 countries (from 2020) except reporting country,Males,Hungary,2022,48.9
EU27 countries (from 2020) except reporting country,Males,Hungary,2024,49.0
EU27 countries (from 2020) except reporting country,Males,Ireland,2022,49.3
EU27 countries (from 2020) except reporting country,Males,Ireland,2024,49.6
EU27 countries (from 2020) except reporting country,Males,Iceland,2022,56.9
EU27 countries (from 2020) except reporting country,Males,Iceland,2024,56.8
EU27 countries (from 2020) except reporting country,Males,Italy,2022,38.8
EU27 countries (from 2020) except reporting country,Males,Italy,2024,39.0
EU27 countries (from 2020) except reporting country,Males,Liechtenstein,2022,46.7
EU27 countries (from 2020) except reporting country,Males,Liechtenstein,2024,47.0
EU27 countries (from 2020) except reporting country,Males,Lithuania,2022,47.5
EU27 countries (from 2020) except reporting country,Males,Luxembourg,2022,51.7
EU27 countries (from 2020) except reporting country,Males,Luxembourg,2024,51.6
EU27 countries (from 2020) except reporting country,Males,Latvia,2022,44.5
EU27 countries (from 2020) except reporting country,Males,Latvia,2024,44.4
EU27 countries (from 2020) except reporting country,Males,Malta,2022,58.0
EU27 countries (from 2020) except reporting country,Males,Malta,2024,56.5
EU27 countries (from 2020) except reporting country,Males,Netherlands,2022,47.7
EU27 countries (from 2020) except reporting country,Males,Netherlands,2024,48.2
EU27 countries (from 2020) except reporting country,Males,Norway,2022,56.6
EU27 countries (from 2020) except reporting country,Males,Norway,2023,56.4
EU27 countries (from 2020) except reporting country,Males,Norway,2024,56.3
EU27 countries (from 2020) except reporting country,Males,Poland,2022,47.9
EU27 countries (from 2020) except reporting country,Males,Poland,2023,47.7
EU27 countries (from 2020) except reporting country,Males,Poland,2024,47.5
EU27 countries (from 2020) except reporting country,Males,Portugal,2022,48.6
EU27 countries (from 2020) except reporting country,Males,Portugal,2023,49.6
EU27 countries (from 2020) except reporting country,Males,Portugal,2024,49.5
EU27 countries (from 2020) except reporting country,Males,Romania,2022,51.8
EU27 countries (from 2020) except reporting country,Males,Romania,2024,51.7
EU27 countries (from 2020) except reporting country,Males,Sweden,2022,48.0
EU27 countries (from 2020) except reporting country,Males,Sweden,2024,48.6
EU27 countries (from 2020) except reporting country,Males,Slovenia,2022,49.2
EU27 countries (from 2020) except reporting country,Males,Slovenia,2024,48.8
EU27 countries (from 2020) except reporting country,Males,Slovakia,2022,48.1
EU27 countries (from 2020) except reporting country,Males,Slovakia,2024,48.3
EU27 countries (from 2020) except reporting country,Males,Türkiye,2024,46.1
EU27 countries (from 2020) except reporting country,Total,Austria,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Austria,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Belgium,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Belgium,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Bulgaria,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Bulgaria,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Switzerland,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Switzerland,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Cyprus,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Cyprus,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Czechia,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Czechia,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Germany,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Germany,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Denmark,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Denmark,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Estonia,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Estonia,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Greece,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Greece,2023,100.0
EU27 countries (from 2020) except reporting country,Total,Greece,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Spain,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Spain,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Finland,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Finland,2023,100.0
EU27 countries (from 2020) except reporting country,Total,Finland,2024,100.0
EU27 countries (from 2020) except reporting country,Total,France,2021,100.0
EU27 countries (from 2020) except reporting country,Total,France,2022,100.0
EU27 countries (from 2020) except reporting country,Total,France,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Croatia,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Croatia,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Hungary,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Hungary,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Ireland,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Ireland,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Iceland,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Iceland,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Italy,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Italy,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Liechtenstein,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Liechtenstein,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Lithuania,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Luxembourg,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Luxembourg,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Latvia,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Latvia,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Malta,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Malta,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Netherlands,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Netherlands,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Norway,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Norway,2023,100.0
EU27 countries (from 2020) except reporting country,Total,Norway,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Poland,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Poland,2023,100.0
EU27 countries (from 2020) except reporting country,Total,Poland,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Portugal,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Portugal,2023,100.0
EU27 countries (from 2020) except reporting country,Total,Portugal,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Romania,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Romania,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Sweden,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Sweden,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Slovenia,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Slovenia,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Slovakia,2022,100.0
EU27 countries (from 2020) except reporting country,Total,Slovakia,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Türkiye,2024,100.0
Foreign country,Females,Austria,2022,50.9
Foreign country,Females,Austria,2024,51.0
Foreign country,Females,Belgium,2022,50.8
Foreign country,Females,Belgium,2024,50.8
Foreign country,Females,Bulgaria,2022,49.4
Foreign country,Females,Bulgaria,2024,48.7
Foreign country,Females,Switzerland,2022,50.9
Foreign country,Females,Switzerland,2024,50.9
Foreign country,Females,Cyprus,2022,55.7
Foreign country,Females,Cyprus,2024,52.5
Foreign country,Females,Czechia,2022,44.2
Foreign country,Females,Czechia,2024,51.9
Foreign country,Females,Germany,2022,50.4
Foreign country,Females,Germany,2024,50.3
Foreign country,Females,Denmark,2022,50.6
Foreign country,Females,Denmark,2024,50.9
Foreign country,Females,Estonia,2022,55.2
Foreign country,Females,Estonia,2024,55.6
Foreign country,Females,Greece,2022,52.0
Foreign country,Females,Greece,2023,52.2
Foreign country,Females,Greece,2024,52.0
Foreign country,Females,Spain,2022,52.2
Foreign country,Females,Spain,2024,51.6
Foreign country,Females,Finland,2022,48.1
Foreign country,Females,Finland,2023,47.9
Foreign country,Females,Finland,2024,48.1
Foreign country,Females,France,2021,51.8
Foreign country,Females,France,2022,51.7
Foreign country,Females,France,2024,51.8
Foreign country,Females,Croatia,2022,53.8
Foreign country,Females,Croatia,2024,51.3
Foreign country,Females,Hungary,2022,48.8
Foreign country,Females,Hungary,2024,48.4
Foreign country,Females,Ireland,2022,50.3
Foreign country,Females,Ireland,2024,50.9
Foreign country,Females,Iceland,2022,46.2
Foreign country,Females,Iceland,2024,46.6
Foreign country,Females,Italy,2022,53.1
Foreign country,Females,Italy,2024,52.5
Foreign country,Females,Liechtenstein,2022,51.1
Foreign country,Females,Liechtenstein,2024,51.0
Foreign country,Females,Lithuania,2022,53.0
Foreign country,Females,Luxembourg,2022,49.1
Foreign country,Females,Luxembourg,2024,49.3
Foreign country,Females,Latvia,2022,59.2
Foreign country,Females,Latvia,2024,58.7
Foreign country,Females,Malta,2022,41.5
Foreign country,Females,Malta,2024,40.1
Foreign country,Females,Netherlands,2022,51.7
Foreign country,Females,Netherlands,2024,51.7
Foreign country,Females,Norway,2022,48.4
Foreign country,Females,Norway,2023,49.0
Foreign country,Females,Norway,2024,49.1
Foreign country,Females,Poland,2022,52.4
Foreign country,Females,Poland,2023,52.5
Foreign country,Females,Poland,2024,52.6
Foreign country,Females,Portugal,2022,51.5
Foreign country,Females,Portugal,2023,50.8
Foreign country,Females,Portugal,2024,49.5
Foreign country,Females,Romania,2022,48.4
Foreign country,Females,Romania,2024,44.6
Foreign country,Females,Sweden,2022,49.7
Foreign country,Females,Sweden,2024,49.7
Foreign country,Females,Slovenia,2022,42.1
Foreign country,Females,Slovenia,2024,42.2
Foreign country,Females,Slovakia,2022,50.6
Foreign country,Females,Slovakia,2024,50.4
